nuu_r_rnaalpattiyonn'	nuu_r_r|naal|patti|yonn'	+1&*100|+4|*10|+1
e.n.nuu_r_rnaalpattiyonn'	e.n|.nuu_r_r|naal|patti|yonn'	+8|*100|+4|*10|+1
a~n~nuu_r_rto.n.nuu_r_riyonn'	a~n|~nuu_r_r|to.n.nuu_r_ri|yonn'	+5|*100|+9&*10|+1
e_lunuu_r_riya_rupattiyonn'	e_lu|nuu_r_ri|ya_ru|patti|yonn'	+7|*100|+6|*10|+1
a_ranuu_r_riya_rupattonn'	a_ra|nuu_r_ri|ya_ru|patt|onn'	+6|*100|+6|*10|+1
a~n~nuu_r_ranpattiyonn'	a~n|~nuu_r_r|an|patti|yonn'	+5|*100|+5|*10|+1
a_ranuu_r_rirupattiyonn'	a_ra|nuu_r_r|iru|patti|yonn'	+6|*100|+2|*10|+1
irunuu_r_rimuppattonn'	iru|nuu_r_ri|mu|ppatt|onn'	+2|*100|+3|*10|+1
a_ranuu_r_riye_lupattonn'	a_ra|nuu_r_ri|ye_lu|patt|onn'	+6|*100|+7|*10|+1
naanuu_r_riye_lupattonn'	naa|nuu_r_ri|ye_lu|patt|onn'	+4|*100|+7|*10|+1
munnuu_r_re.npattonn'	mun|nuu_r_r|e.n|patt|onn'	+3|*100|+8|*10|+1
e.n.nuu_r_rinaalpattiyonn'	e.n|.nuu_r_ri|naal|patti|yonn'	+8|*100|+4|*10|+1
irunuu_r_riye_lupattiyonn'	iru|nuu_r_ri|ye_lu|patti|yonn'	+2|*100|+7|*10|+1
a_ranuu_r_re.npattonn'	a_ra|nuu_r_r|e.n|patt|onn'	+6|*100|+8|*10|+1
naanuu_r_rampattiyonn'	naa|nuu_r_r|am|patti|yonn'	+4|*100|+5|*10|+1
e.n.nuu_r_riyempattiyonn'	e.n|.nuu_r_ri|yem|patti|yonn'	+8|*100|+8|*10|+1
e_lunuu_r_riya_rupattonn'	e_lu|nuu_r_ri|ya_ru|patt|onn'	+7|*100|+6|*10|+1
a~n~nuu_r_riye.npattonn'	a~n|~nuu_r_ri|ye.n|patt|onn'	+5|*100|+8|*10|+1
a~n~nuu_r_rnaappattonn'	a~n|~nuu_r_r|naa|ppatt|onn'	+5|*100|+4|*10|+1
munnuu_r_rnaappattiyonn'	mun|nuu_r_r|naa|ppatti|yonn'	+3|*100|+4|*10|+1
nuu_r_rnaappattiyonn'	nuu_r_r|naa|ppatti|yonn'	+1&*100|+4|*10|+1
naanuu_r_ranpattiyonn'	naa|nuu_r_r|an|patti|yonn'	+4|*100|+5|*10|+1
nuu_r_ra_rupattiyonn'	nuu_r_r|a_ru|patti|yonn'	+1&*100|+6|*10|+1
a~n~nuu_r_riyempattiyonn'	a~n|~nuu_r_ri|yem|patti|yonn'	+5|*100|+8|*10|+1
a_ranuu_r_rmuppattonn'	a_ra|nuu_r_r|mu|ppatt|onn'	+6|*100|+3|*10|+1
e.n.nuu_r_riye_lupattonn'	e.n|.nuu_r_ri|ye_lu|patt|onn'	+8|*100|+7|*10|+1
munnuu_r_rirupattiyonn'	mun|nuu_r_r|iru|patti|yonn'	+3|*100|+2|*10|+1
e_lunuu_r_riyampattonn'	e_lu|nuu_r_ri|yam|patt|onn'	+7|*100|+5|*10|+1
a~n~nuu_r_ranpattonn'	a~n|~nuu_r_r|an|patt|onn'	+5|*100|+5|*10|+1
a~n~nuu_r_rinaappattiyonn'	a~n|~nuu_r_ri|naa|ppatti|yonn'	+5|*100|+4|*10|+1
e_lunuu_r_rinaappattiyonn'	e_lu|nuu_r_ri|naa|ppatti|yonn'	+7|*100|+4|*10|+1
irunuu_r_riya_rupattiyonn'	iru|nuu_r_ri|ya_ru|patti|yonn'	+2|*100|+6|*10|+1
irunuu_r_riye.npattonn'	iru|nuu_r_ri|ye.n|patt|onn'	+2|*100|+8|*10|+1
nuu_r_riye_lupattonn'	nuu_r_ri|ye_lu|patt|onn'	+1&*100|+7|*10|+1
a~n~nuu_r_riyampattiyonn'	a~n|~nuu_r_ri|yam|patti|yonn'	+5|*100|+5|*10|+1
e.n.nuu_r_ritto.n.nuu_r_ronn'	e.n|.nuu_r_ri|tto.n.nuu_r_r|onn'	+8|*100|+9&*10|+1
e.n.nuu_r_rmuppattonn'	e.n|.nuu_r_r|mu|ppatt|onn'	+8|*100|+3|*10|+1
e.n.nuu_r_rinaappattiyonn'	e.n|.nuu_r_ri|naa|ppatti|yonn'	+8|*100|+4|*10|+1
e.n.nuu_r_riye.npattiyonn'	e.n|.nuu_r_ri|ye.n|patti|yonn'	+8|*100|+8|*10|+1
munnuu_r_rmuppattiyonn'	mun|nuu_r_r|mu|ppatti|yonn'	+3|*100|+3|*10|+1
nuu_r_ranpattiyonn'	nuu_r_r|an|patti|yonn'	+1&*100|+5|*10|+1
e_lunuu_r_riyirupattonn'	e_lu|nuu_r_ri|yiru|patt|onn'	+7|*100|+2|*10|+1
irunuu_r_rnaalpattonn'	iru|nuu_r_r|naal|patt|onn'	+2|*100|+4|*10|+1
a~n~nuu_r_riyempattonn'	a~n|~nuu_r_ri|yem|patt|onn'	+5|*100|+8|*10|+1
a_ranuu_r_riyampattonn'	a_ra|nuu_r_ri|yam|patt|onn'	+6|*100|+5|*10|+1
irunuu_r_rampattonn'	iru|nuu_r_r|am|patt|onn'	+2|*100|+5|*10|+1
irunuu_r_riyirupattiyonn'	iru|nuu_r_ri|yiru|patti|yonn'	+2|*100|+2|*10|+1
munnuu_r_riye_lupattiyonn'	mun|nuu_r_ri|ye_lu|patti|yonn'	+3|*100|+7|*10|+1
naanuu_r_riyanpattiyonn'	naa|nuu_r_ri|yan|patti|yonn'	+4|*100|+5|*10|+1
munnuu_r_riyempattonn'	mun|nuu_r_ri|yem|patt|onn'	+3|*100|+8|*10|+1
nuu_r_rnaappattonn'	nuu_r_r|naa|ppatt|onn'	+1&*100|+4|*10|+1
naanuu_r_ra_rupattonn'	naa|nuu_r_r|a_ru|patt|onn'	+4|*100|+6|*10|+1
irunuu_r_rempattiyonn'	iru|nuu_r_r|em|patti|yonn'	+2|*100|+8|*10|+1
e.n.nuu_r_re.npattonn'	e.n|.nuu_r_r|e.n|patt|onn'	+8|*100|+8|*10|+1
e.n.nuu_r_re_lupattiyonn'	e.n|.nuu_r_r|e_lu|patti|yonn'	+8|*100|+7|*10|+1
e.n.nuu_r_rnaappattonn'	e.n|.nuu_r_r|naa|ppatt|onn'	+8|*100|+4|*10|+1
a~n~nuu_r_riyanpattiyonn'	a~n|~nuu_r_ri|yan|patti|yonn'	+5|*100|+5|*10|+1
irunuu_r_riye.npattiyonn'	iru|nuu_r_ri|ye.n|patti|yonn'	+2|*100|+8|*10|+1
munnuu_r_riyampattiyonn'	mun|nuu_r_ri|yam|patti|yonn'	+3|*100|+5|*10|+1
irunuu_r_rinaappattonn'	iru|nuu_r_ri|naa|ppatt|onn'	+2|*100|+4|*10|+1
e_lunuu_r_ra_rupattiyonn'	e_lu|nuu_r_r|a_ru|patti|yonn'	+7|*100|+6|*10|+1
irunuu_r_riyanpattonn'	iru|nuu_r_ri|yan|patt|onn'	+2|*100|+5|*10|+1
nuu_r_rirupattonn'	nuu_r_r|iru|patt|onn'	+1&*100|+2|*10|+1
e_lunuu_r_riyonn'	e_lu|nuu_r_ri|yonn'	+7|*100|+1
a_ranuu_r_rnaalpattiyonn'	a_ra|nuu_r_r|naal|patti|yonn'	+6|*100|+4|*10|+1
irunuu_r_ritto.n.nuu_r_riyonn'	iru|nuu_r_ri|tto.n.nuu_r_ri|yonn'	+2|*100|+9&*10|+1
irupattonn'	iru|patt|onn'	+2|*10|+1
munnuu_r_riyempattiyonn'	mun|nuu_r_ri|yem|patti|yonn'	+3|*100|+8|*10|+1
nuu_r_riyampattonn'	nuu_r_ri|yam|patt|onn'	+1&*100|+5|*10|+1
